"Paper_number","Paper_ID","Synthesis_type","Title","Author","N_Studies","N_Pairwise_comparisons","Year_range","Language_range","Country_range","Latitude","Longitude","Biome","Model","Commodity","Crop","magpie_class","Kingdom","Phylum","Class","Order","Family","Genus_Species","Functional_group","Comparison_.control.vs.ps2.","Control","Landuse","agricultural_system","Practice","Practice_detail","Crop.1","Cover_crop","Bt_type","biodiversity_metric_category","Biodiversity_measure","ID","Effect_size","Sample_size","LRR","Percentage_change","p.value","SD","SE","Lower_CI","Upper_CI","Extracted_from","Reference","CA_score","Comments","Weight","Treatment"
20,"Roy.S","Review","Soil Arthropods in Maintaining Soil Health: Thrust Areas for Sugarcane Production Systems","S. Roy; M. M. Roy; A. K. Jaiswal; A. Baitha",6,"NA",NA,NA,NA,NA,NA,NA,NA,"Sugar","Sugarcane","Sugar Crops","Animal","Arthropoda","Edaphic_arthropods",NA,NA,NA,"Predators","Organic.vs.Conventional","Conventional","Cropland","Organic","Organic","Organic","Sugarcane",NA,NA,"diversity","Abundance",269,"Percentage_change",1,0,166.8,NA,NA,NA,NA,NA,"Page_8","Santos et al. 2017",NA,NA,1,"Conventional"
9,"Gatehouse.A","Review","Insect-resistant biotech crops and their impacts on beneficial arthropods","A. M. R. Gatehouse; N. Ferry; M. G. Edwards; H. A. Bell",32,"NA",NA,NA,NA,NA,NA,NA,NA,"Roots_tubers","Potato","Other annual crops","Animal","Arthropoda","Insecta","Hymenoptera","Eulophidae","Eulophus pennicornis","Parasitoids","GM","Conventional","Cropland","Transgenic","GM","GM","GM_Potato",NA,"CpTI","efficiency","Parasitism",211,"Percentage_change",1,0,100,NA,NA,NA,NA,NA,"Table_1","Bell et al.",NA,NA,1,"Conventional"
9,"Gatehouse.A","Review","Insect-resistant biotech crops and their impacts on beneficial arthropods","A. M. R. Gatehouse; N. Ferry; M. G. Edwards; H. A. Bell",32,"NA",NA,NA,NA,NA,NA,NA,NA,"Roots_tubers","Potato","Other annual crops","Animal","Arthropoda","Insecta","Heteroptera","Pentatomidae","Perillus bioculatus","Predators","GM","Conventional","Cropland","Transgenic","GM","GM","GM_Potato",NA,"OC1","unclassified","Effect",251,"Percentage_change",1,0,100,NA,NA,NA,NA,NA,"Table_2","Bouchard et al. [105]",NA,NA,1,"Transgenic"
39,"Morales.M","Review","Effect of winter cover crops on the soil microbiome: a systematic literature review","M. E. Morales; G. A. Iocoli; M. B. Villamil; M. C. Zabaloy",22,"NA",NA,"English_Spanish","Argentina_Australia_Brasil_Spain_South.Africa",".",NA,NA,NA,"Oils_fats","Cotton","Oil crops","Mycorrhizal_fungi",NA,NA,NA,NA,NA,NA,"Rotation.vs.Fallow","Fallow","Cropland","mixed","Rotation","Rotation","Cotton","Clover",NA,"development","Mycorrhiza_hifa_length",69,"Percentage_change",1,0,140,NA,NA,NA,NA,NA,"Results",NA,NA,NA,1,"Fallow"
9,"Gatehouse.A","Review","Insect-resistant biotech crops and their impacts on beneficial arthropods","A. M. R. Gatehouse; N. Ferry; M. G. Edwards; H. A. Bell",32,"NA",NA,NA,NA,NA,NA,NA,NA,"Oils_fats","Rape_seed","Oil crops","Animal","Arthropoda","Insecta","Lepidoptera","Plutellidae","H. axyridis","Predators","GM","Conventional","Cropland","Transgenic","GM","GM","GM_Oilseed_rape",NA,"OC1","survival","Survival",249,"Percentage_change",1,0,100,NA,NA,NA,NA,NA,"Table_2","Ferry et al. [104]",NA,NA,1,"Transgenic"
39,"Morales.M","Review","Effect of winter cover crops on the soil microbiome: a systematic literature review","M. E. Morales; G. A. Iocoli; M. B. Villamil; M. C. Zabaloy",22,"NA",NA,"English_Spanish","Argentina_Australia_Brasil_Spain_South.Africa",".",NA,NA,NA,"Oils_fats","Sunflower","Oil crops","Bacteria",NA,NA,NA,NA,NA,NA,"Rotation.vs.Fallow","Fallow","Cropland","mixed","Rotation","Rotation","Sunflower","Vetch",NA,"Enzymatic_activity","Enzymatic_activity",67,"Percentage_change",1,0,100,NA,NA,NA,NA,NA,"Results",NA,NA,NA,1,"Fallow"
52,"Tang.K","Review","Sustainability of oil palm plantations in Malaysia","K. H. D. Tang; H. M. S. Al Qahtani",9,"NA","2000-2019",NA,"Sabah","5.42574","117.03264",NA,NA,"Oils_fats","Oil_palm","Oil crops","Animal","Biodiversity",NA,NA,NA,NA,NA,"Conventional.vs.Primary_forest","conventional","Cropland","Primary_forest","Conventional","Conventional","Oil_Palm",NA,NA,"diversity","Species_richness",329,"Percentage_change",1,0,195,NA,NA,NA,NA,NA,"Page_6","Brüch and Eltz (2009)",NA,NA,1,"Conventional"
28,"Kropm.B","Review","Carabid beetles in sustainable agriculture: A review on pest control efficacy, cultivation impacts and enhancement","B. Kromp",8,"NA","1971-1983",NA,"Germany","51.06899285","10.19453204",NA,NA,"Cereals_grains","Wheat","Cereals","Animal","Arthropoda","Insecta","Coleoptera","Carabidae","Pterostichus melanarius",NA,"Sustainable.vs.Intensified","conventional","Cropland","Sustainable","Intensified","Intensified","Wheat",NA,NA,"diversity","Quadrat_density",307,"Percentage_change",1,0.559615787935423,175,NA,NA,NA,NA,NA,NA,"Basedow (1987)",NA,NA,1,"Sustainable"
95,"Hou.J","Review","The sustainability of rice-crayfish coculture systems: a mini review of evidence from Jianghan plain in China","J. Hou; D. Styles; Y. X. Cao; X. X. Ye",8,"NA","2012-2016","Chinese","China","35.00007","104.99993",".",NA,"Cereals_grains","Rice","Cereals","Animal","Arthropoda","Arachnida","Araneae",NA,"Spider","Pest","Coculture.vs.Monoculture","Monoculture","Cropland","coculture","Crayfish_coculture","Crayfish_coculture","Rice",NA,NA,"diversity","Abundance",139,"Percentage_change",1,0,100,NA,NA,NA,NA,NA,"Page_9",NA,NA,NA,1,"Conventional"
9,"Gatehouse.A","Review","Insect-resistant biotech crops and their impacts on beneficial arthropods","A. M. R. Gatehouse; N. Ferry; M. G. Edwards; H. A. Bell",32,"NA",NA,NA,NA,NA,NA,NA,NA,"Roots_tubers","Potato","Other annual crops","Animal","Arthropoda","Insecta","Coleoptera","Carabidae","Nebria brevicollis",NA,"Conventional.vs.GM","Conventional","Cropland","Transgenic","Bt","Bt","Bt_Potato",NA,"Bt","survival","Survival",201,"Percentage_change",1,0,100,NA,NA,NA,NA,NA,"Page_9","Ferry, N., Mulligan, E. A., Majerus, M. E. N. & Gatehouse,
A. M. R. 2007 Bitrophic and tritrophic effects of
Bt Cry3A transgenic potato on beneficial, non-target,
beetles. Transgenic Res. 16, 795–812. (doi:10.1007/
s11248-007-9088-9)",NA,NA,1,"Conventional"
